"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"SL.TLF.CACT.ZS","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.PART.FE.ZS","Part time employment, female (% of total female employment)","Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.PART.MA.ZS","Part time employment, male (% of total male employment)","Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.PART.TL.FE.ZS","Part time employment, female (% of total part time employment)","Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.PART.ZS","Part time employment, total (% of total employment)","Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.PRIM.FE.ZS","Labor force with primary education, female (% of female labor force)","Female labor force with primary education is the share of the female labor force that attained or completed primary education as the highest level of education.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.PRIM.MA.ZS","Labor force with primary education, male (% of male labor force)","Male labor force with primary education is the share of the male labor force that attained or completed primary education as the highest level of education.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.PRIM.ZS","Labor force with primary education (% of total)","Labor force with primary education is the share of the total labor force that attained or completed primary education as the highest level of education.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.SECO.FE.ZS","Labor force with secondary education, female (% of female labor force)","Female labor force with secondary education is the share of the female labor force that attained or completed secondary education as the highest level of education.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.SECO.MA.ZS","Labor force with secondary education, male (% of male labor force)","Male labor force with secondary education is the share of the male labor force that attained or completed secondary education as the highest level of education.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.SECO.ZS","Labor force with secondary education (% of total)","Labor force with secondary education is the share of the total labor force that attained or completed secondary education as the highest level of education.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.TERT.FE.ZS","Labor force with tertiary education, female (% of female labor force)","Female labor force with tertiary education is the share of the female labor force that attained or completed tertiary education as the highest level of education.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.TERT.MA.ZS","Labor force with tertiary education, male (% of male labor force)","Male labor force with tertiary education is the share of the male labor force that attained or completed tertiary education as the highest level of education.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.TERT.ZS","Labor force with tertiary education (% of total)","Labor force with tertiary education is the share of the total labor force that attained or completed tertiary education as the highest level of education.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.TLF.TOTL.FE.ZS","Labor force, female (% of total labor force)","Female labor force as a percentage of the total show the extent to which women are active in the labor force. Labor force comprises people ages 15 and older who meet the International Labour Organization's definition of the economically active population.","International Labour Organization, using World Bank population estimates.",
"SL.TLF.TOTL.IN","Labor force, total","Total labor force comprises people ages 15 and older who meet the International Labour Organization definition of the economically active population: all people who supply labor for the production of goods and services during a specified period. It includes both the employed and the unemployed. While national practices vary in the treatment of such groups as the armed forces and seasonal or part-time workers, in general the labor force includes the armed forces, the unemployed, and first-time job-seekers, but excludes homemakers and other unpaid caregivers and workers in the informal sector.","International Labour Organization, using World Bank population estimates.",
"SL.UEM.1524.FE.NE.ZS","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.1524.FE.ZS","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.1524.MA.NE.ZS","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.1524.MA.ZS","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.1524.NE.ZS","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.1524.ZS","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.LTRM.FE.ZS","Long-term unemployment, female (% of female unemployment)","Long-term unemployment refers to the number of people with continuous periods of unemployment extending for a year or longer, expressed as a percentage of the total unemployed.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.LTRM.MA.ZS","Long-term unemployment, male (% of male unemployment)","Long-term unemployment refers to the number of people with continuous periods of unemployment extending for a year or longer, expressed as a percentage of the total unemployed.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.LTRM.ZS","Long-term unemployment (% of total unemployment)","Long-term unemployment refers to the number of people with continuous periods of unemployment extending for a year or longer, expressed as a percentage of the total unemployed.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.NEET.FE.ZS","Share of youth not in education, employment, or training, female (% of female youth population)","Share of youth not in education, employment or training (NEET) is the proportion of young people who are not in education, employment, or training  to the population of the corresponding age group: youth (ages 15 to 24); persons ages 15 to 29; or both age groups.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.NEET.MA.ZS","Share of youth not in education, employment, or training, male (% of male youth population)","Share of youth not in education, employment or training (NEET) is the proportion of young people who are not in education, employment, or training  to the population of the corresponding age group: youth (ages 15 to 24); persons ages 15 to 29; or both age groups.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.NEET.ZS","Share of youth not in education, employment, or training, total (% of youth population)","Share of youth not in education, employment or training (NEET) is the proportion of young people who are not in education, employment, or training  to the population of the corresponding age group: youth (ages 15 to 24); persons ages 15 to 29; or both age groups.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.PRIM.FE.ZS","Unemployment with primary education, female (% of female unemployment)","Female unemployment with primary education is the share of the female unemployed who attained or completed primary education as the highest level.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.PRIM.MA.ZS","Unemployment with primary education, male (% of male unemployment)","Male unemployment with primary education is the share of the male unemployed who attained or completed primary education as the highest level.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.PRIM.ZS","Unemployment with primary education (% of total unemployment)","Unemployment with primary education is the share of the total unemployed who attained or completed primary education as the highest level.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.SECO.FE.ZS","Unemployment with secondary education, female (% of female unemployment)","Female unemployment with secondary education is the share of the female unemployed who attained or completed secondary education as the highest level.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.SECO.MA.ZS","Unemployment with secondary education, male (% of male unemployment)","Male unemployment with secondary education is the share of the male unemployed who attained or completed secondary education as the highest level.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.SECO.ZS","Unemployment with secondary education (% of total unemployment)","Unemployment with secondary education is the share of the total unemployed who attained or completed secondary education as the highest level.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.TERT.FE.ZS","Unemployment with tertiary education, female (% of female unemployment)","Female unemployment with tertiary education is the share of the female unemployed who attained or completed tertiary education as the highest level.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.TERT.MA.ZS","Unemployment with tertiary education, male (% of male unemployment)","Male unemployment with tertiary education is the share of the male unemployed who attained or completed tertiary education as the highest level.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.TERT.ZS","Unemployment with tertiary education (% of total unemployment)","Unemployment with tertiary education is the share of the total unemployed who attained or completed tertiary education as the highest level.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.TOTL.FE.NE.ZS","Unemployment, female (% of female labor force) (national estimate)","Unemployment refers to the share of the labor force that is without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.TOTL.FE.ZS","Unemployment, female (% of female labor force)","Unemployment refers to the share of the labor force that is without work but available for and seeking employment.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.TOTL.MA.NE.ZS","Unemployment, male (% of male labor force) (national estimate)","Unemployment refers to the share of the labor force that is without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.TOTL.MA.ZS","Unemployment, male (% of male labor force)","Unemployment refers to the share of the labor force that is without work but available for and seeking employment.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.TOTL.NE.ZS","Unemployment, total (% of total labor force) (national estimate)","Unemployment refers to the share of the labor force that is without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.UEM.TOTL.ZS","Unemployment, total (% of total labor force)","Unemployment refers to the share of the labor force that is without work but available for and seeking employment.","International Labour Organization, Key Indicators of the Labour Market database.",
"SL.WAG.0714.FE.ZS","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","Wage workers (also known as employees) are people who hold explicit (written or oral) or implicit employment contracts that provide basic remuneration that does not depend directly on the revenue of the unit for which they work.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.WAG.0714.MA.ZS","Children in employment, wage workers, male (% of male children in employment, ages 7-14)","Wage workers (also known as employees) are people who hold explicit (written or oral) or implicit employment contracts that provide basic remuneration that does not depend directly on the revenue of the unit for which they work.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
"SL.WAG.0714.ZS","Children in employment, wage workers (% of children in employment, ages 7-14)","Wage workers (also known as employees) are people who hold explicit (written or oral) or implicit employment contracts that provide basic remuneration that does not depend directly on the revenue of the unit for which they work.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",
