INDICATOR_CODE,INDICATOR_NAME,SOURCE_NOTE,SOURCE_ORGANIZATION
SL.EMP.SELF.FE.ZS,Self-employed; female (% of females employed),"Self-employed workers are those workers who; working on their own account or with one or a few partners or in cooperative; hold the type of jobs defined as a ""self-employment jobs.""  i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced. Self-employed workers include four sub-categories of employers; own-account workers; members of producers' cooperatives; and contributing family workers.",International Labour Organization; Key Indicators of the Labour Market database.
SL.EMP.SELF.MA.ZS,Self-employed; male (% of males employed),"Self-employed workers are those workers who; working on their own account or with one or a few partners or in cooperative; hold the type of jobs defined as a ""self-employment jobs.""  i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced. Self-employed workers include four sub-categories of employers; own-account workers; members of producers' cooperatives; and contributing family workers.",International Labour Organization; Key Indicators of the Labour Market database.
SL.EMP.TOTL.SP.FE.ZS,Employment to population ratio; 15+; female (%) (modeled ILO estimate),Employment to population ratio is the proportion of a country's population that is employed. Ages 15 and older are generally considered the working-age population.,International Labour Organization; Key Indicators of the Labour Market database.
SL.EMP.TOTL.SP.MA.ZS,Employment to population ratio; 15+; male (%) (modeled ILO estimate),Employment to population ratio is the proportion of a country's population that is employed. Ages 15 and older are generally considered the working-age population.,International Labour Organization; Key Indicators of the Labour Market database.
SL.EMP.VULN.FE.ZS,Vulnerable employment; female (% of female employment),Vulnerable employment is unpaid family workers and own-account workers as a percentage of total employment.,International Labour Organization; Key Indicators of the Labour Market database.
SL.EMP.VULN.MA.ZS,Vulnerable employment; male (% of male employment),Vulnerable employment is unpaid family workers and own-account workers as a percentage of total employment.,International Labour Organization; Key Indicators of the Labour Market database.
SL.EMP.WORK.FE.ZS,Wage and salaried workers; female (% of females employed),"Wage and salaried workers (employees) are those workers who hold the type of jobs defined as ""paid employment jobs;"" where the incumbents hold explicit (written or oral) or implicit employment contracts that give them a basic remuneration that is not directly dependent upon the revenue of the unit for which they work.",International Labour Organization; Key Indicators of the Labour Market database.
SL.EMP.WORK.MA.ZS,Wage and salary workers; male (% of males employed),"Wage and salaried workers (employees) are those workers who hold the type of jobs defined as ""paid employment jobs;"" where the incumbents hold explicit (written or oral) or implicit employment contracts that give them a basic remuneration that is not directly dependent upon the revenue of the unit for which they work.",International Labour Organization; Key Indicators of the Labour Market database.
SL.FAM.WORK.FE.ZS,Contributing family workers; female (% of females employed),Contributing family workers are those workers who hold  Åeself-employment jobsÅf as own-account workers in a market-oriented establishment operated by a related person living in the same household.,International Labour Organization; Key Indicators of the Labour Market database.
SL.FAM.WORK.MA.ZS,Contributing family workers; male (% of males employed),"Contributing family workers are those workers who hold ""self-employment jobs"" as own-account workers in a market-oriented establishment operated by a related person living in the same household.",International Labour Organization; Key Indicators of the Labour Market database.
SL.IND.EMPL.FE.ZS,Employment in industry; female (% of female employment),Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit; whether at work during the reference period or not at work due to temporary absence from a job; or to working-time arrangement. The industry sector consists of mining and quarrying; manufacturing; construction; and public utilities (electricity; gas; and water); in accordance with divisions 2-5 (ISIC 2) or categories C-F (ISIC 3) or categories B-F (ISIC 4).,International Labour Organization; Key Indicators of the Labour Market database.
SL.IND.EMPL.MA.ZS,Employment in industry; male (% of male employment),Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit; whether at work during the reference period or not at work due to temporary absence from a job; or to working-time arrangement. The industry sector consists of mining and quarrying; manufacturing; construction; and public utilities (electricity; gas; and water); in accordance with divisions 2-5 (ISIC 2) or categories C-F (ISIC 3) or categories B-F (ISIC 4).,International Labour Organization; Key Indicators of the Labour Market database.
SL.MNF.0714.FE.ZS,Child employment in manufacturing; female (% of female economically active children ages 7-14),Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Manufacturing corresponds to division 3 (ISIC revision 2) or category D (ISIC revision 3). Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.,Understanding Children's Work project based on data from ILO; UNICEF and the World Bank.
SL.MNF.0714.MA.ZS,Child employment in manufacturing; male (% of male economically active children ages 7-14),Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Manufacturing corresponds to division 3 (ISIC revision 2) or category D (ISIC revision 3). Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.,Understanding Children's Work project based on data from ILO; UNICEF and the World Bank.
SL.SRV.0714.FE.ZS,Child employment in services; female (% of female economically active children ages 7-14),Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Services correspond to divisions 6-9 (ISIC revision 2) or categories G-P (ISIC revision 3) and include wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate; public administration; education; health and social work; other community services; and private household activity. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.,Understanding Children's Work project based on data from ILO; UNICEF and the World Bank.
SL.SRV.0714.MA.ZS,Child employment in services; male (% of male economically active children ages 7-14),Employment by economic activity refers to the distribution of economically active children by the major industrial categories (ISIC revision 2 or revision 3). Services correspond to divisions 6-9 (ISIC revision 2) or categories G-P (ISIC revision 3) and include wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate; public administration; education; health and social work; other community services; and private household activity. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.,Understanding Children's Work project based on data from ILO; UNICEF and the World Bank.
SL.SRV.EMPL.FE.ZS,Employment in services; female (% of female employment),Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit; whether at work during the reference period or not at work due to temporary absence from a job; or to working-time arrangement. The services sector consists of wholesale and retail trade and restaurants and hotels; transport; storage; and communications; financing; insurance; real estate; and business services; and community; social; and personal services; in accordance with divisions 6-9 (ISIC 2) or categories G-Q (ISIC 3) or categories G-U (ISIC 4).,International Labour Organization; Key Indicators of the Labour Market database.
SL.SRV.EMPL.MA.ZS,Employment in services; male (% of male employment),Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit; whether at work during the reference period or not at work due to temporary absence from a job; or to working-time arrangement. The services sector consists of wholesale and retail trade and restaurants and hotels; transport; storage; and communications; financing; insurance; real estate; and business services; and community; social; and personal services; in accordance with divisions 6-9 (ISIC 2) or categories G-Q (ISIC 3) or categories G-U (ISIC 4).,International Labour Organization; Key Indicators of the Labour Market database.
SL.TLF.0714.FE.ZS,Children in employment; female (% of female children ages 7-14),Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,Understanding Children's Work project based on data from ILO; UNICEF and the World Bank.
SL.TLF.0714.MA.ZS,Children in employment; male (% of male children ages 7-14),Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,Understanding Children's Work project based on data from ILO; UNICEF and the World Bank.
SL.TLF.0714.SW.FE.ZS,Children in employment; study and work; female (% of female children in employment; ages 7-14),Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Study and work refer to children attending school in combination with economic activity.,Understanding Children's Work project based on data from ILO; UNICEF and the World Bank.
SL.TLF.0714.SW.MA.ZS,Children in employment; study and work; male (% of male children in employment; ages 7-14),Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Study and work refer to children attending school in combination with economic activity.,Understanding Children's Work project based on data from ILO; UNICEF and the World Bank.
SL.TLF.0714.WK.FE.ZS,Children in employment; work only; female (% of female children in employment; ages 7-14),Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Work only refers to children involved in economic activity and not attending school.,Understanding Children's Work project based on data from ILO; UNICEF and the World Bank.
SL.TLF.0714.WK.MA.ZS,Children in employment; work only; male (% of male children in employment; ages 7-14),Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey. Work only refers to children involved in economic activity and not attending school.,Understanding Children's Work project based on data from ILO; UNICEF and the World Bank.
SL.TLF.CACT.FE.ZS,Labor force participation rate; female (% of female population ages 15+) (modeled ILO estimate),Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.,International Labour Organization; Key Indicators of the Labour Market database.
SL.TLF.CACT.MA.ZS,Labor force participation rate; male (% of male population ages 15+) (modeled ILO estimate),Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.,International Labour Organization; Key Indicators of the Labour Market database.
SL.TLF.CACT.ZS,Labor force participation rate; total (% of total population ages 15+) (modeled ILO estimate),Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.,International Labour Organization; Key Indicators of the Labour Market database.
SL.TLF.PART.FE.ZS,Part time employment; female (% of total female employment),Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.,International Labour Organization; Key Indicators of the Labour Market database.
SL.TLF.PART.MA.ZS,Part time employment; male (% of total male employment),Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.,International Labour Organization; Key Indicators of the Labour Market database.
SL.TLF.PART.TL.FE.ZS,Part time employment; female (% of total part time employment),Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.,International Labour Organization; Key Indicators of the Labour Market database.
SL.TLF.PRIM.FE.ZS,Labor force with primary education; female (% of female labor force),Female labor force with primary education is the share of the female labor force that attained or completed primary education as the highest level of education.,International Labour Organization; Key Indicators of the Labour Market database.
SL.TLF.PRIM.MA.ZS,Labor force with primary education; male (% of male labor force),Male labor force with primary education is the share of the male labor force that attained or completed primary education as the highest level of education.,International Labour Organization; Key Indicators of the Labour Market database.
SL.TLF.SECO.FE.ZS,Labor force with secondary education; female (% of female labor force),Female labor force with secondary education is the share of the female labor force that attained or completed secondary education as the highest level of education.,International Labour Organization; Key Indicators of the Labour Market database.
SL.TLF.SECO.MA.ZS,Labor force with secondary education; male (% of male labor force),Male labor force with secondary education is the share of the male labor force that attained or completed secondary education as the highest level of education.,International Labour Organization; Key Indicators of the Labour Market database.
SL.TLF.TERT.FE.ZS,Labor force with tertiary education; female (% of female labor force),Female labor force with tertiary education is the share of the female labor force that attained or completed tertiary education as the highest level of education.,International Labour Organization; Key Indicators of the Labour Market database.
SL.TLF.TERT.MA.ZS,Labor force with tertiary education; male (% of male labor force),Male labor force with tertiary education is the share of the male labor force that attained or completed tertiary education as the highest level of education.,International Labour Organization; Key Indicators of the Labour Market database.
SL.TLF.TOTL.FE.ZS,Labor force; female (% of total labor force),Female labor force as a percentage of the total show the extent to which women are active in the labor force. Labor force comprises people ages 15 and older who meet the International Labour Organization's definition of the economically active population.,International Labour Organization; using World Bank population estimates.
SL.UEM.1524.FE.ZS,Unemployment; youth female (% of female labor force ages 15-24) (modeled ILO estimate),Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment.,International Labour Organization; Key Indicators of the Labour Market database.
SL.UEM.1524.MA.ZS,Unemployment; youth male (% of male labor force ages 15-24) (modeled ILO estimate),Youth unemployment refers to the share of the labor force ages 15-24 without work but available for and seeking employment.,International Labour Organization; Key Indicators of the Labour Market database.
SL.UEM.LTRM.FE.ZS,Long-term unemployment; female (% of female unemployment),Long-term unemployment refers to the number of people with continuous periods of unemployment extending for a year or longer; expressed as a percentage of the total unemployed.,International Labour Organization; Key Indicators of the Labour Market database.
SL.UEM.LTRM.MA.ZS,Long-term unemployment; male (% of male unemployment),Long-term unemployment refers to the number of people with continuous periods of unemployment extending for a year or longer; expressed as a percentage of the total unemployed.,International Labour Organization; Key Indicators of the Labour Market database.
SL.UEM.PRIM.FE.ZS,Unemployment with primary education; female (% of female unemployment),Female unemployment with primary education is the share of the female unemployed who attained or completed primary education as the highest level.,International Labour Organization; Key Indicators of the Labour Market database.
SL.UEM.PRIM.MA.ZS,Unemployment with primary education; male (% of male unemployment),Male unemployment with primary education is the share of the male unemployed who attained or completed primary education as the highest level.,International Labour Organization; Key Indicators of the Labour Market database.
SL.UEM.SECO.FE.ZS,Unemployment with secondary education; female (% of female unemployment),Female unemployment with secondary education is the share of the female unemployed who attained or completed secondary education as the highest level.,International Labour Organization; Key Indicators of the Labour Market database.
SL.UEM.SECO.MA.ZS,Unemployment with secondary education; male (% of male unemployment),Male unemployment with secondary education is the share of the male unemployed who attained or completed secondary education as the highest level.,International Labour Organization; Key Indicators of the Labour Market database.
SL.UEM.TERT.FE.ZS,Unemployment with tertiary education; female (% of female unemployment),Female unemployment with tertiary education is the share of the female unemployed who attained or completed tertiary education as the highest level.,International Labour Organization; Key Indicators of the Labour Market database.
SL.UEM.TERT.MA.ZS,Unemployment with tertiary education; male (% of male unemployment),Male unemployment with tertiary education is the share of the male unemployed who attained or completed tertiary education as the highest level.,International Labour Organization; Key Indicators of the Labour Market database.
SL.UEM.TOTL.FE.ZS,Unemployment; female (% of female labor force),Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,International Labour Organization; Key Indicators of the Labour Market database.
SL.UEM.TOTL.MA.ZS,Unemployment; male (% of male labor force),Unemployment refers to the share of the labor force that is without work but available for and seeking employment.,International Labour Organization; Key Indicators of the Labour Market database.
SP.ADO.TFRT,Adolescent fertility rate (births per 1;000 women ages 15-19),Adolescent fertility rate is the number of births per 1;000 women ages 15-19.,United Nations Population Division; World Population Prospects.
SP.DYN.AMRT.FE,Mortality rate; adult; female (per 1;000 female adults),Adult mortality rate is the probability of dying between the ages of 15 and 60--that is; the probability of a 15-year-old dying before reaching age 60; if subject to age-specific mortality rates of the specified year between those ages.,(1) United Nations Population Division. World Population Prospects. New York; United Nations; Department of Economic and Social Affairs (advanced Excel tables). Available at http://esa.un.org/wpp/unpp/panel_population.htm; (2) University of California; Berkeley; and Max Planck Institute for Demographic Research. Human Mortality Database. [ www.mortality.org or www.humanmortality.de].
SP.DYN.AMRT.MA,Mortality rate; adult; male (per 1;000 male adults),Adult mortality rate is the probability of dying between the ages of 15 and 60--that is; the probability of a 15-year-old dying before reaching age 60; if subject to age-specific mortality rates of the specified year between those ages.,(1) United Nations Population Division. World Population Prospects. New York; United Nations; Department of Economic and Social Affairs (advanced Excel tables). Available at http://esa.un.org/wpp/unpp/panel_population.htm; (2) University of California; Berkeley; and Max Planck Institute for Demographic Research. Human Mortality Database. [ www.mortality.org or www.humanmortality.de].
SP.DYN.CONU.ZS,Contraceptive prevalence; any methods (% of women ages 15-49),Contraceptive prevalence rate is the percentage of women who are practicing; or whose sexual partners are practicing; any form of contraception. It is usually measured for women ages 15-49 who are married or in union.,UNICEF's State of the World's Children and Childinfo; United Nations Population Division's World Contraceptive Use; household surveys including Demographic and Health Surveys and Multiple Indicator Cluster Surveys.
SP.DYN.LE00.FE.IN,Life expectancy at birth; female (years),Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.,(1) United Nations Population Division. World Population Prospects; (2) United Nations Statistical Division. Population and Vital Statistics Report (various years); (3) Census reports and other statistical publications from national statistical offices; (4) Eurostat: Demographic Statistics; (5) Secretariat of the Pacific Community: Statistics and Demography Programme; and (6) U.S. Census Bureau: International Database.
SP.DYN.LE00.MA.IN,Life expectancy at birth; male (years),Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.,(1) United Nations Population Division. World Population Prospects; (2) United Nations Statistical Division. Population and Vital Statistics Report (various years); (3) Census reports and other statistical publications from national statistical offices; (4) Eurostat: Demographic Statistics; (5) Secretariat of the Pacific Community: Statistics and Demography Programme; and (6) U.S. Census Bureau: International Database.
SP.DYN.TFRT.IN,Fertility rate; total (births per woman),Total fertility rate represents the number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with age-specific fertility rates of the specified year.,(1) United Nations Population Division. World Population Prospects; (2) United Nations Statistical Division. Population and Vital Statistics Report (various years); (3) Census reports and other statistical publications from national statistical offices; (4) Eurostat: Demographic Statistics; (5) Secretariat of the Pacific Community: Statistics and Demography Programme; and (6) U.S. Census Bureau: International Database
SP.DYN.TO65.FE.ZS,Survival to age 65; female (% of cohort),Survival to age 65 refers to the percentage of a cohort of newborn infants that would survive to age 65; if subject to age specific mortality rates of the specified year.,United Nations Population Division. World Population Prospects. New York; United Nations; Department of Economic and Social Affairs (advanced Excel tables). Available at http://esa.un.org/wpp/unpp/panel_population.htm.
SP.DYN.TO65.MA.ZS,Survival to age 65; male (% of cohort),Survival to age 65 refers to the percentage of a cohort of newborn infants that would survive to age 65; if subject to age specific mortality rates of the specified year.,United Nations Population Division. World Population Prospects. New York; United Nations; Department of Economic and Social Affairs (advanced Excel tables). Available at http://esa.un.org/wpp/unpp/panel_population.htm.
SP.DYN.WFRT,Wanted fertility rate (births per woman),Wanted fertility rate is an estimate of what the total fertility rate would be if all unwanted births were avoided.,Demographic and Health Surveys.
SP.HOU.FEMA.ZS,Female headed households (% of households with a female head),Female headed households shows the percentage of households with a female head.,Demographic and Health Surveys.
SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Teenage mothers are the percentage of women ages 15-19 who already have children or are currently pregnant.,Demographic and Health Surveys.
